itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate
59108,GOLDSUN TEA TIME DELICIOUS CAKE 250 GM CDBOX,7,CAKE,GAMINI BAKERS,GOLDSUN,CDBOX,,,250,GM,250.00 GM,202306
59109,REVELLO CLASSIC FRUIT & NUT CHOCOLATE 170 GM CDBOX + SAVE RS 100,8,MILK CHOCOLATES,CEYLON BISCUITS LIMITED,REVELLO CLASSIC,CDBOX,DRY FRUITS/NUTS,,170,GM,170.00 GM,202306
59110,REVELLO CLASSIC CASHEW CHOCOLATE 170 GM CDBOX + SAVE RS 200,8,MILK CHOCOLATES,CEYLON BISCUITS LIMITED,REVELLO CLASSIC,CDBOX,DRY FRUITS/NUTS,,170,GM,170.00 GM,202306
59111,REVELLO CLASSIC ALMOND CHOCOLATE 170 GM CDBOX + SAVE RS 130,8,MILK CHOCOLATES,CEYLON BISCUITS LIMITED,REVELLO CLASSIC,CDBOX,DRY FRUITS/NUTS,,170,GM,170.00 GM,202306
59112,DAINTEE HEARTS MILK CHOCO 45 GM PLPCH,8,MILK CHOCOLATES,SUNSHINE COUNSUMER LANKA LTD,DAINTEE HEARTS,PLPCH,PLAIN,,45,GM,45.00 GM,202306
59113,ZESTA PREMIUM BOPF TEA 195 GM PLPCH + SAVE RS 50,12,TEA,SUNSHINE COUNSUMER LANKA LTD,ZESTA,PLPCH,,,195,GM,195.00 GM,202306
59114,ZESTA PREMIUM BOPF TEA 190 GM PLPCH + SAVE RS 40,12,TEA,SUNSHINE COUNSUMER LANKA LTD,ZESTA,PLPCH,,,190,GM,190.00 GM,202306
59115,ZESTA PREMIUM BOPF 50 TEA BAGS 90 GM CDBOX,12,TEA,SUNSHINE COUNSUMER LANKA LTD,ZESTA,CDBOX,,,90,GM,90.00 GM,202306
59116,WATAWALA PURE CEYLON TEA 200 GM PLPCH + FREE WATAWALA CEYLON TEA 30 GM PLPCH (SAVE RS 100),12,TEA,SUNSHINE COUNSUMER LANKA LTD,WATAWALA TEA,PLPCH,,,230,GM,230.00 GM,202306
59117,RICHARD VENI - BALLPOINT PENS - 1 NO,39,STATIONERY,RICHARD TRADING CO (PVT) LTD,RICHARD VENI,,,,1,NO,1.00 NO,202306
59118,CLOGARD MAXIMUM CAVITY PROTECTION DUAL ACTION TOOTHPASTE 160 GM CDBOX + FREE CLOGARD SMART PLUS-MEDIUM 1 NO,27,TOOTHPASTE,HEMAS MARKETING,CLOGARD,CDBOX,,,160,GM,160.00 GM,202306
59119,CLOGARD FRESH LEMONGRASS FLUORIDATED GEL TOOTHPASTE 40 GM CDBOX,27,TOOTHPASTE,HEMAS MARKETING,CLOGARD FRESH,CDBOX,,,40,GM,40.00 GM,202306
59120,CLOGARD CAVITY PROTECTION FIGHTS GERMS STRENG.ENAMEL 70 GM CDBOX + SAVE RS 20,27,TOOTHPASTE,HEMAS MARKETING,CLOGARD,CDBOX,,,70,GM,70.00 GM,202306
59121,SIGNAL CHARCOL WHITE NATURE ESSENTIALS TOOTHPASTE 120 GM CDBOX + FREE SIGNAL CHARCOL WHITE NATURE ESSENTIALS TOOTHPASTE 30 GM CDBOX,27,TOOTHPASTE,UNILEVER SRI LANKA LTD,SIGNAL CHARCOL,CDBOX,,,150,GM,150.00 GM,202306
59122,PRIMA TWIST SPECIAL FINE NOODLES WITH REAL VEGETABLE SACHET 400 GM PLPCH + SAVE RS 40,24,NOODLES,CEYLON AGRO INDUSTRIES,PRIMA TWIST,PLPCH,,BULK,400,GM,400.00 GM,202306
59123,IRESHA - NOODLES 400 GM PLPCH,24,NOODLES,IRESHA FOOD PRODUCTS (PVT) LTD,IRESHA,PLPCH,,BULK,400,GM,400.00 GM,202306
59124,LYSOL TRIPLE GERM ACTION ALL IN 1 DISINFECTANT SURFACE CLEANER - CITRUS - 200 ML PLBOT + RS 25 OFF,21,HOUSEHOLD CLEANERS,RECKITT BENCKISER (LANKA) LTD,LYSOL,PLBOT,,,200,ML,200.00 ML,202306
59125,LYSOL TRIPLE GERM ACTION ALL IN 1 DISINFECTANT SURFACE CLEANER - LAVENDER - 200 ML PLBOT + RS 25 OFF,21,HOUSEHOLD CLEANERS,RECKITT BENCKISER (LANKA) LTD,LYSOL,PLBOT,,,200,ML,200.00 ML,202306
