itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate,audittype
54289,VIM MAX POWER OF 100 LIMES (100*3) 300 GM PLPCH + SAVE RS 12,21,HOUSEHOLD CLEANERS,UNILEVER SRI LANKA LTD,VIM,PLPCH,,BAR,300,GM,300.00 GM,202207,1
54290,EVO BEAUTY HYDRO. KERATIN & MILK PROT. FOR TREATED AND DAMAGED HAIR SHAMPOO 400 ML PLBOT,26,SHAMPOOS/CONDITIONERS,GRACE COSMETICS,EVO BEAUTY,PLBOT,,,400,ML,400.00 ML,202207,1
54291,HERB LINE KESHA DHAARANI SHAMPOO WITH NEELYADI THAILAM 200 ML PLBOT,26,SHAMPOOS/CONDITIONERS,HERB LINE - SRI LANKA,HERB LINE,PLBOT,,,200,ML,200.00 ML,202207,1
54292,HERB LINE KESHA DHAARANI CONDITIONER WITH NEELYADI THAILAM 200 ML PLBOT,26,SHAMPOOS/CONDITIONERS,HERB LINE - SRI LANKA,HERB LINE,PLBOT,,,200,ML,200.00 ML,202207,1
54293,DOVE NUTRITIVE SOLUTIONS INTENSE REPAIR SHAMPOO FOR DAMAGED HAIR 80 ML PLBOT,26,SHAMPOOS/CONDITIONERS,UNILEVER SRI LANKA LTD,DOVE,PLBOT,,,80,ML,80.00 ML,202207,1
54294,SIGNAL STRONG TEETH NEW FORM. WITH ENHA. CAVITY PROTE. 40 GM CDBOX + SAVE RS 10,27,TOOTHPASTE,UNILEVER SRI LANKA LTD,SIGNAL STRONG TEETH,CDBOX,,,40,GM,40.00 GM,202207,1
54295,CMR CURRY POWDER 50 GM PLPCH,28,COOKING AIDS,CMR AGRO MARKETING (PVT) LTD,CMR,PLPCH,CURRY,,50,GM,50.00 GM,202207,1
54296,CMR CHILLI PIECES 50 GM PLPCH,28,COOKING AIDS,CMR AGRO MARKETING (PVT) LTD,CMR,PLPCH,CHILLI FLAKES,,50,GM,50.00 GM,202207,1
54297,CMR CHILLI PIECES 100 GM PLPCH,28,COOKING AIDS,CMR AGRO MARKETING (PVT) LTD,CMR,PLPCH,CHILLI FLAKES,,100,GM,100.00 GM,202207,1
54298,HAYLEYS GOVI ARUNA CHILLI PIECES 250 GM PLPCH,28,COOKING AIDS,HAYLEYS CONSUMER PRODUCTS LTD,HAYLES GOVI ARUNA,PLPCH,CHILLI FLAKES,,250,GM,250.00 GM,202207,1
54299,LAKMUTHU CHILLI POWDER 250 GM PLPCH,28,COOKING AIDS,LAKMUTHU FOOD PRODUCTS,LAKMUTHU,PLPCH,CHILLI POWDER,,250,GM,250.00 GM,202207,1
54300,LAKSHAKTHI PEPPER POWDER 25 GM PLPCH,28,COOKING AIDS,LAKSHAKTHI FOOD PRODUCTS,LAKSHAKTHI,PLPCH,PEPPER,,25,GM,25.00 GM,202207,1
54301,COMFORT FABRIC CONDITIONER LILY FRESH 220 ML PLBOT + SAVE RS 50,29,FABRIC CONDITIONER,UNILEVER LIPTON CEYLON LTD,COMFORT,PLBOT,LILY,,220,ML,220.00 ML,202207,1
54302,ANA CANADIAN APPAREL SPRAY PERFUME 22 ML CDBOX (SUJA TRADERS),30,PERFUMES/COLOGNES,SUJA TRADERS,ANA,CDBOX,,,22,ML,22.00 ML,202207,1
54303,ANA SILKY HEART APPAREL SPRAY PERFUME 22 ML CDBOX (SUJA TRADERS),30,PERFUMES/COLOGNES,SUJA TRADERS,ANA,CDBOX,,,22,ML,22.00 ML,202207,1
54304,ANA PASSE APPAREL SPRAY PERFUME 22 ML CDBOX (SUJA TRADERS),30,PERFUMES/COLOGNES,SUJA TRADERS,ANA,CDBOX,,,22,ML,22.00 ML,202207,1
