PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202309,1,51139608,13410010001,1695283528503,13,DELMAR LANKA PVT LTD,CALIN,CALIN /125/G/CD BOX/GOLD SOAP,1,125G,CD BOX,,1695536847227-diamond best foods -pvt- ltd-diamond#3.png
202309,1,121482454,10048010001,1695280538466,24,"LAKRASA MARKETING & DISTRIBUTOR ",LAKRASA,"LAKRASA SPECIAL NOODLES 400 GM ",290,400 GM,PLPUCH,,1695280538466-lakrasa marketing - distributor -lakrasa#3.png
202309,2,61204743,12203020001,1694516171435,2,PINE LANKA CANNERIES PVT LTD,TANGEE,TANGEE/190/ML/RGB/FRESH MILK COFFEE DRINK,140,190 ML,RGB,,1694516171435-pine lanka canneries pvt ltd-tangee#3.png
202309,2,61204743,12203020001,1694517087579,2,PINE LANKA CANNERIES PVT LTD,TANGEE,TANGEE/200/ML/PET/MANGO FLAVOURED DRINK,80,200 ML,PET,,1694517087579-pine lanka canneries pvt ltd-tangee#3.png
202309,2,61204743,12203020001,1694516798244,2,PINE LANKA CANNERIES PVT LTD,TANGEE,TANGEE/200/ML/PET/ORANGE FLAVOURED DRINK,80,200 ML,PET,,1694516798244-pine lanka canneries pvt ltd-tangee#3.png
202309,1,113829053,31401010002,1695626348222,7,NETHMI CONFECTIONERY,SHEHARA,"SHEHARA/280G/CDBOX/FRUIT TAKY SWEET CAKE ",500,280G,"CDBOX ",,1695626348222-nethmi confectionery-shehara#3.png
202309,1,113829053,31401010002,1695619123169,16,UNILEVER SRI LANKA LTD,WONDERLIGHT,"WONDERLIGHT POWER/140G/PLPCH/LEMON FRESH ",80,140G,"PLPCH ",,1695619123169-unilever sri lanka ltd-wonderlight#3.png
202309,2,17423704,71301020009,1695622708821,5,MAX BEVERAGE PVT LTD,"MAX ",MAX/500/ML/PBT/BOTTLED DRINKING WATER,100,500ML,PBT,,1695622708821-max beverage pvt ltd-max #3.png
202309,1,42226667,11101010132,1695197787113,9,FONTERRA BRANDS LANKA (PVT)LTD,ANCHOR,ANCHOR/NON-FAT/400/GM/CDBX,1200,400 G,CDBX,,1695622708821-max beverage pvt ltd-max #3.png
202309,1,42226667,11101010132,1695110585649,15,UNILEVER SRI LANKA LTD,SURF EXCEL,SURF EXCEL/WITH PREMIUM FRAGRANCE OF COMFORT/500/GM/PLPCH/+/SAVE RS 50/,400,500 G,PLPCH,,1695622708821-max beverage pvt ltd-max #3.png
202309,1,42226667,11101010132,1695621234664,39,DSL ENTERPRISES (PVT)LTD,LINC,LINC/SPEED NEW 5 PEN PACK (MULTICOLOUR)/1/NO/PLPCH/THINK IT LINC IT/,125,1 NO,PLPCH,,1695621234664-dsl enterprises -pvt-ltd-linc#3.png
202309,1,137141097,51101010039,1695624629963,21,STAND LANKA HOLDINGS,HI-PRESS,HI-PRESS\500\ML\PLBOT\X-POWER \PINE FRESH,340,500ML,PLBOT,,1695624629963-stand lanka holdings-hi-press#3.png
202309,1,46005941,13401010001,1695617595982,35,DARSHA FOOD INDUSTRIES,MAC,MAC\2.45\KG\POUCH \ICING SUGER,1200,2.45KG,"POUCH ",,1695617595982-darsha food industries-mac#3.png
202309,1,111632112,13742010001,1695626433817,10,D.M.S FOOD PRODUCTS,D.M.S,"D.M.S/80/GM/PLPCH/CHICKEN FLAVOUR WITH MACARONI ",150,"80GM ","PLPCH ",,1695626433817-d-m-s food products-d-m-s#3.png
202309,1,132730897,13741010002,1695379881634,16,"UNILEVER LANKA CONSUMER LTD ",WONDERLIGHT,NEW WONDERLIGHT POWER/140/GM/EWREP/LEMON FRESH DETERGENT BAR,80,"140GM ","EWREP ",,1695626433817-d-m-s food products-d-m-s#3.png
202309,1,87691103,13772010001,1695618217562,16,MOON LIGHT INDUSTRIES,MOONLIGHT,"MOONLIGHT/100/GM/EWRPK/LAUNDRY SOAP ",0,100GM,"EWRPK ",Delete the Item,1695618217562-moon light industries-moonlight#3.png
202309,1,87340890,62403010004,1695621980410,26,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK /STUNNING BLACK SHINE SHAMPOO 180/  FREE SUNSILK CONDITIONER 40 ML( SAVE 145),600,180ML,PLBOT,,1695621980410-unilever sri lanka ltd-sunsilk#3.png
202309,1,45929540,11203010002,1695630902099,28,RUBASINGHE PRODUCTS,RUBASINGHE,RUBASINGHE\100\G\CUP\GORAKA CREAM,80,100G,CUP,,1695630902099-rubasinghe products-rubasinghe#3.png
202309,1,45929540,11203010002,1695631573328,28,REZENTA FOOD PRODUCTS,REZENTA,RIZENTA\50\G\PLPCH\ROASTED CURRY POWDER,130,50G,PLPCH,,1695631573328-rezenta food products-rezenta#3.png
202309,5,11674,22050005,1695617920451,38,NEPTUNE COLOUR INDUSTRIES,NEPTUNE,NEPTUNE\180\ML\ SUPER NC THINNER,275,180ML,GBT,,1695617920451-neptune colour industries-neptune#2.png
202309,5,11674,22050005,1695618034938,38,NEPTUNE COLOUR INDUSTRIES,NEPTUNE,NEPTUNE\750\ML\ SUPER NC THINNER,990,750ML,GBT,,1695618034938-neptune colour industries-neptune#3.png
202309,5,11674,22050005,1695617026046,38,NEPTUNE COLOUR INDUSTRIES,NEPTUNE,NEPTUNE\750\ML\WOOD PRESERVATIVE WB CLEAR,720,750ML,PBT,,1695617026046-neptune colour industries-neptune#3.png
202309,5,11674,22050005,1695617426643,38,NEPTUNE COLOUR INDUSTRIES,NEPTUNE,NEPTUNE\1000\ML\SUPER POLYURETHENE VARINISH CLEAR,2880,1000ML,TIN,,1695617426643-neptune colour industries-neptune#3.png
202309,5,11674,22050005,1695617989437,38,NEPTUNE COLOUR INDUSTRIES,NEPTUNE,NEPTUNE\375\ML\ SUPER NC THINNER,590,375ML,GBT,,1695617989437-neptune colour industries-neptune#3.png
202309,5,11674,22050005,1695617366606,38,NEPTUNE COLOUR INDUSTRIES,NEPTUNE,NEPTUNE\500\ML\SUPER POLYURETHENE VARINISH CLEAR,1540,500ML,TIN,,1695617366606-neptune colour industries-neptune#3.png
202309,5,11674,22050005,1695617115712,38,NEPTUNE COLOUR INDUSTRIES,NEPTUNE,NEPTUNE\375\ML\WOOD PRESERVATIVE WB CLEAR,375,375ML,GBT,,1695617115712-neptune colour industries-neptune#3.png
202309,5,11674,22050005,1695617284065,38,NEPTUNE COLOUR INDUSTRIES,NEPTUNE,NEPTUNE\200\ML\SUPER POLYURETHENE VARINISH CLEAR,740,200ML,TIN,,1695617284065-neptune colour industries-neptune#3.png
202309,5,11674,22050005,1695617548294,38,NEPTUNE COLOUR INDUSTRIES,NEPTUNE,NEPTUNE\500\ML\SUPER POLYURETHENE VARINISH COLORS,1580,500ML,TIN,,1695617548294-neptune colour industries-neptune#3.png
202309,5,11674,22050005,1695617599232,38,NEPTUNE COLOUR INDUSTRIES,NEPTUNE,NEPTUNE\1000\ML\SUPER POLYURETHENE VARINISH COLORS,3140,1000ML,TIN,,1695617599232-neptune colour industries-neptune#2.png
202309,5,11674,22050005,1695617495353,38,NEPTUNE COLOUR INDUSTRIES,NEPTUNE,NEPTUNE\200\ML\SUPER POLYURETHENE VARINISH COLORS,780,200ML,TIN,,1695617495353-neptune colour industries-neptune#3.png
202309,5,11799,30050008,1695625578673,37,NEW CITY TRADERS & CHEMICALS,MODILAC,MODILAC\4\L\SUPER SHEEN EMULSION COLORS,5000,4L,PLBKT,,1695625578673-new city traders - chemicals-modilac#3.png
202309,5,11799,30050008,1695625464819,37,NEW CITY TRADERS & CHEMICALS,MODILAC,MODILAC\4\L\SUPER SHEEN EMULSION BIRILLIANT WHITE,5000,4L,PLBKT,,1695625464819-new city traders - chemicals-modilac#3.png
202309,1,131555804,14634010001,1695618957020,12,UNILEVER LIPTON CEYLON LTD,LIPTON LAOJEE,LAOJEE/100/GM/ PLPCH/PURE CEYLON BLACK TEA 10 RS SAVE/USL,300,"100GM ","PLPCH ",,1695618957020-unilever lipton ceylon ltd-lipton laojee#3.png
202309,2,57920848,12103020030,1695626967507,5,MAWALLA VITHANAWASAM PRODUCT,SIYANEDROPS,"SIYANEDROPS/5000/ML/PLBOT/BOTTLED DRINKING WATER ",400,5000 ML,"PLBOT ",,1695626967507-mawalla vithanawasam product-siyanedrops#3.png
202309,1,133083576,53301010008,1695627588109,12,"ISHARA PRODUCT ( PVT)LTD ",ISHARA,ISHARA/50/G/PLPCH/TEA,85,50G,"PLPCH ",,1695627588109-ishara product - pvt-ltd -ishara#3.png
202309,1,36399959,12208010008,1695618107110,21,STAR HOLDINGS INTERNATIONAL,STAR,STAR/100/GM/PLPCH/DISHWASH WITH ANTI BACTERIAL PROTECTION FRESH ORANGE WITH LIME+SAVE RS.20,0,"100GM ","PLPCH ",Delete the Item,1695618107110-star holdings international-star#3.png
202309,1,77774047,18483010002,1695619599033,16,UNILEVER SRI LANKA LTD,WONDERLIGHT,NEW WONDERLIGHT POWER/140/G/PLPCH/LEMON FRESH/DETERGENT BAR,80,140 G,PLPCH,,1695619599033-unilever sri lanka ltd-wonderlight#3.png
202309,1,118114137,20616010008,1695363293339,15,STAR HOLDINGS INTERNATIONAL,"STAR ",STAR LIGHT /40G/POUCH PACK /ARALIYA&MELON,20,40G,"POUCH PACK ",,1695619599033-unilever sri lanka ltd-wonderlight#3.png
202309,2,79691718,71406020006,1695206122511,2,COCA-COLA BEVERAGES,SPRITE,SPRITE/250/ML/PBT/LEMON‐LIME,100,250ML,PBT,,1695619599033-unilever sri lanka ltd-wonderlight#3.png
202309,1,275048,11103010004,1694854437662,13,RECKITT BENCKISER (LANKA) LTD,DETTOL,"DETTOL COOL UP TO 5' C COOLING SENSATION 70 GM × 2 SAVE 30 /= ",270,140 GM,EWRPK,,1694854437662-reckitt benckiser -lanka- ltd-dettol#3.png
202309,1,133667848,11105010064,1694755650206,16,RUWAN FACTORY,RUU LIGHT,RUU LIGHT /100G / WITH REAL LEMON /EWRPK,100,100GM,EWRPK,Delete the Item,1694755650206-ruwan factory-ruu light#3.png
202309,1,9010732,82302010006,1695533891150,39,ATLAS AXILLIA CO. (PVT) LTD,ATLAS,ATLAS/NO12/CDBOX/NON TOXIC COLOUR PENCIL 12,520,NO12,"CDBOX ",,1695533891150-atlas axillia co- -pvt- ltd-atlas#3.png
202309,1,9010732,82302010006,1695533719898,39,ATLAS AXILLIA CO. (PVT) LTD,ATLAS,ATLAS/NO6/CDBOX/NON TOXIC COLOUR PENCIL 6,270,NO6,"CDBOX ",Sales Deviation is OK,1695533719898-atlas axillia co- -pvt- ltd-atlas#3.png
202309,1,9010732,82302010006,1695532812515,39,IMPORTED,FABER-CASTELL,"FABER-CASTELL/NO 1/CDBOX/LAPICES DE GRAFITO PENCIL ",1,NO1,"CDBOX ",Sales Deviation is OK,1695532812515-imported-faber-castell#3.png
202309,1,114411332,61302010005,1695188983934,12,AHMAD TEA( PVT)LIMIED,AHMAD/,AHMAD/200/GM/CEYLON TEA/POUCH,560,200GM,POUCH,,1695188983934-ahmad tea- pvt-limied-ahmad-#3.png
202309,1,114411332,61302010005,1695189221495,12,CEYLON ROYAL TEAS (PVT) LTD,KEELLS,KEELLS/200/GM/BOPF/POUCH,371,200GM,POUCH,,1695189221495-ceylon royal teas -pvt- ltd-keells#3.png
202309,1,86557992,13723010001,1695543744113,13,UNILEVER SRI LANKA LTD,PEARS BABY,PEARS/350(70G×5)/GM/CDB/BEDTIME BABY SOAP/SAVE RS.45/=/FREE/BEDTIME CHOOTY PACK/70M,680,350GM(70G×5),CDB,,1695543744113-unilever sri lanka ltd-pears baby#3.png
202309,1,86557992,13723010001,1694927569371,13,RECKITT BENCKISER (LANKA) LTD,DETTOL,DETTOL/140(70G×2)/GM/EWREP/ORIGINAL GEM DEFENCE/BUY 2 SAVE RS.30/=,270,140GM(70G×2),"EWREP ",,1695543744113-unilever sri lanka ltd-pears baby#3.png
202309,1,86557992,13723010001,1695379881634,16,"UNILEVER LANKA CONSUMER LTD ",WONDERLIGHT,NEW WONDERLIGHT POWER/140/GM/EWREP/LEMON FRESH DETERGENT BAR,80,"140GM ","EWREP ",,1695543744113-unilever sri lanka ltd-pears baby#3.png
202309,1,86557992,13723010001,1695543236088,13,UNILEVER SRI LANKA LTD,LUX,LUX/210(75G×3)/GM/EWREP/SOFT GLOW VITAMIN C + E/SAVE RS.75/=,330,210GM(70G×3),"EWREP ",,1695543236088-unilever sri lanka ltd-lux#3.png
202309,1,41967140,12204010001,1695103540469,29,UNILEVER LANKA CONSUMER LTD,SUNLIGHT,SUNLIGHT / 280 /ML / PLPCH / FLOWER SHOWER PERFUMED AFTER WASH,280,280ML,PLPCH,,1695543236088-unilever sri lanka ltd-lux#3.png
202309,1,118265474,14380010001,1694406182815,16,"V-MAX PRODUCTS ",V-MAX,V-MAX/120/GM/EWRPK/WITH FLORAL FRESH LAUNDRY SOAP/V-MAX PRODUCTS,100,120 GM,"EWRPK ",New SKU,1695543236088-unilever sri lanka ltd-lux#3.png
202309,1,51530255,11101010202,1695446269041,39,ATLAS AXILLIA CO. (PVT) LTD,ATLAS,ATLAS/COLOUR SPARX PENCILS/(24 COLOUR)/1 NO/CDBX/THE BRIGHTER COLOUR PENCIL,1185,1 NO (24 COLOUR),CDBX,,1695446269041-atlas axillia co- -pvt- ltd-atlas#3.png
202309,1,111618512,11833010003,1695095114157,39,PACKSCO CEYLON PVT LTD,TEN,TEN PASTELS\1NO (36 COLOURS)\CD BOX,570,1NO (36 COLOURS),CD BOX,,1695095114157-packsco ceylon pvt ltd-ten#3.png
202309,1,111618512,11833010003,1695109920569,39,PACKSCO CEYLON PVT LTD,TEN,"TEN BALL PENS\1NO (FIVE COLOURS PEN)\EWRPK ",125,1NO (FIVE COLOURS PEN),"EWRPK ",,1695109920569-packsco ceylon pvt ltd-ten#3.png
202309,5,10799,33050012,1695549598913,38,JAT HOLDINGS,J-CHEM,J CHEM/5/L/TIN/NC SEALER STAIN/JAT HOLDINGS,11369,5 L,TIN,,1695549598913-jat holdings-j-chem#3.png
