itemdesc,company,brand,packaging,qty,uomdesc,pack_size
4 EVER VITAMIN E CREAM FOR ALL SKIN TYPES 50 GM,4 EVER SKIN NATURALS (PVT) LTD,4 EVER,TUBE,50,GM,50.00 GM
DERMA PRO TUBE 180 ML SUN CONTROL SPF30+ FOR ALL SKIN,4 EVER SKIN NATURALS (PVT) LTD,DERMA PRO,TUBE,180,ML,180.00 ML
FAIZA BODY LOTION PLBOT 300 ML,A.J.ENTERPRISES,FAIZA,PLBOT,300,ML,300.00 ML
NAIVEHERBS 30 GM CDBOX FAIRNESS BOOSTER,AYU PHARMA & NEUTRA,NAIVEHERBS,CDBOX,30,GM,30.00 GM
NAIVEHERBS FAIRNESS DAY LOTION 60 GM,AYU PHARMA & NEUTRA,NAIVEHERBS,CDBOX,60,GM,60.00 GM
NAIVEHERBS FAIRNESS DAY LOTION 30 GM,AYU PHARMA & NEUTRA,NAIVEHERBS,PLTUB,30,GM,30.00 GM
NAIVEHERBS FAIRNESS DAY LOTION FOR DRY SKIN 30 GM,AYU PHARMA & NEUTRA,NAIVEHERBS,PLTUB,30,GM,30.00 GM
NAIVEHERBS FAIRNESS DAY LOTION FOR DRY SKIN 30 ML,AYU PHARMA & NEUTRA,NAIVEHERBS,PLTUB,30,ML,30.00 ML
NAIVEHERBS FAIRNESS DAY LOTION SPECIALLY FOR OILY SKIN 30 GM,AYU PHARMA & NEUTRA,NAIVEHERBS,PLTUB,30,GM,30.00 GM
NAIVEHERBS INTENSIVE FAIRNESS NIGHT CREAM 25 GM,AYU PHARMA & NEUTRA,NAIVEHERBS,PLTUB,25,GM,25.00 GM
NAIVEHERBS INTENSIVE FAIRNESS NIGHT CREAM 30 GM,AYU PHARMA & NEUTRA,NAIVEHERBS,PLTUB,30,GM,30.00 GM
NAIVEHERBS INTENSIVE FAIRNESS NIGHT CREAM 60 GM,AYU PHARMA & NEUTRA,NAIVEHERBS,CDBOX,60,GM,60.00 GM
NAIVEHERBS INTENSIVE FAIRNESS NIGHT CREAM FOR DRY SKIN 30 GM,AYU PHARMA & NEUTRA,NAIVEHERBS,PLTUB,30,GM,30.00 GM
HIMALAYA HERBALS (DREAMRON) OIL FREE RADIANCE GEL CREAM GNTLHYDRT 50 ML CDBOX,DREAMRON LANKA (PVT) LTD,HIMALAYA HERBALS,CDBOX,50,ML,50.00 ML
HIMALAYA HERBALS (DREAMRON) ANTI-WRINKLE CREAM 50 GM,DREAMRON LANKA (PVT) LTD,HIMALAYA HERBALS,TUBE,50,GM,50.00 GM
HIMALAYA HERBALS (DREAMRON) ANTI-WRINKLE CREAM 50 ML,DREAMRON LANKA (PVT) LTD,HIMALAYA HERBALS,TUBE,50,ML,50.00 ML
DREAMRON KLEARA SUN PROTECTION CREAM 30+ SPF 100 ML,HARUMI HOLDINGS (PVT) LTD,DREAMRON,TUBE,100,ML,100.00 ML
FAIR & PINK 30 GM CDBOX FAIRNESS CREAM,IMANDHRIE IMPORTERS&DISTRIBUTORS,FAIR & PINK,CDBOX,30,GM,30.00 GM
CREAM 21 PRO-V B5 250 ML,IMPORTED,CREAM 21,PLBOT,250,ML,250.00 ML
CREAM 21 PRO-V B5 50 ML,IMPORTED,CREAM 21,PLBOT,50,ML,50.00 ML
LADY DIANA (IMPORTED) FACE & BODY SUN BLOCK WHITENING LOTION 200 ML,IMPORTED,LADY DIANA,TUBE,200,ML,200.00 ML
LADY DIANA (IMPORTED) SUN BLOCK VITAMINE-E 170 ML,IMPORTED,LADY DIANA,PLBOT,170,ML,170.00 ML
ROUSHUN SUNBLOCK CREAM 180 ML,IMPORTED,ROUSHUN,PLBOT,180,ML,180.00 ML
OIL OF DERMAE 125 ML (IMPORTED),IMPORTED,OIL OF DERMAE,TUB,125,ML,125.00 ML
JANET AYURUVEDICS SUN SHADE SUN SCREEN LOTION 75 ML,JANET AYURUVEDICS (PVT) LTD,JANET AYURUVEDICS,TUBE,75,ML,75.00 ML
JANET SUNSHADES CRICKET SUN BLOCK SPF 30+ 75 ML,JANET AYURUVEDICS (PVT) LTD,JANET SUNSHADES,TUBE,75,ML,75.00 ML
JANET SUNSHADES MAXIMUM PROTECTION SUNSCREEN 75 ML,JANET AYURUVEDICS (PVT) LTD,JANET SUNSHADES,TUBE,75,ML,75.00 ML
MORISON'S BEAUTY LACTO CREAM PREVENTS PRINKLY HEART & SKIN DARK.43 GM,J L MORISON & SON (CEYLON) LTD,MORISON'S,CDBOX,43,GM,43.00 GM
MORISON'S CALAMINE LOTION 100 GM,J L MORISON & SON (CEYLON) LTD,MORISON'S,PLBOT,100,GM,100.00 GM
MORISON'S LACTO CREAM 43 GM,J L MORISON & SON (CEYLON) LTD,MORISON'S,GLBOT,43,GM,43.00 GM
MORISON'S LACTO SUN LOTION SPF 50 100 ML,J L MORISON & SON (CEYLON) LTD,MORISON'S,PLBOT,100,ML,100.00 ML
NIVEA (JLM) ALOEVERA MOISTURISING LOTION 200 ML,J L MORISON & SON (CEYLON) LTD,NIVEA,PLBOT,200,ML,200.00 ML
NIVEA (JLM) SUN HIGH PROTECTION SUN LOTION SPF-30 125 ML,J L MORISON & SON (CEYLON) LTD,NIVEA,PLBOT,125,ML,125.00 ML
NIVEA (JLM) SUN PROTECT & MOISTURE SPF 30 125 ML,J L MORISON & SON (CEYLON) LTD,NIVEA,PLBOT,125,ML,125.00 ML
SUN & FUN ANTI-AGEING SUN SCREEN LOTION 80 ML,NATURE'S BEAUTY CREATIONS LTD,SUN & FUN,PLBOT,80,ML,80.00 ML
SUN & FUN DAILY PROTECTION SUNSCREEN LOTION 110 ML,NATURE'S BEAUTY CREATIONS LTD,SUN & FUN,PLBOT,110,ML,110.00 ML
SUN & FUN SPORT SUN SCREEN LOTION 80 ML,NATURE'S BEAUTY CREATIONS LTD,SUN & FUN,PLBOT,80,ML,80.00 ML
