MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,MATCH_ITEMDESC,MATCH_COMPANY,MATCH_BRAND,MATCH_PACKAGING,MATCH_QTY,MATCH_UNIT,MATCH_PACKSIZE,FUZZY_SCORE
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM,PL POUCH,1,,,,,,,,
CHIRAN INDUSTRIES (PVT) LTD,NANO,NANO/5000/ML/PLBT/BOTTLED DRINKING WATER,5000,ML,5000ML,PLBT,1,,,,,,,,
SAL HERBALS PRODUCTS,SAL,SAL/600/ML/PLBOT/NATURAL ALOE VERA DETERGENT LIQUID,10000,10000,600 ML,PLBOT,1,,,,,,,,
DIAMOND BEST FOODS (PVT) LTD,ZARA,ZARA/18/GM/PLPCH/DAILY 2 IN 1 MILK POWDER BLEND WITH ADDED SUGAR,10000,10000,18 GM,PLPCH,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/15/GM/PLPCH/KOME RICE CRACER BITES SWEET MASALA FLOVOUR,10000,10000,15 GM,PLPCH,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/315/GM/PLPCH/REAL CHOCOLATE CREAM BISCUIT HANDY PACK,10000,10000,315 GM,PLPCH,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/85/GM/PLPCH/YOYO CHOCO CREAM,10000,10000,85 GM,PLPCH,1,,,,,,,,
LAKGALA PRODUCTS,LAKGALA,LAKGALA/50/GM/PLPCH/CURRY POWDER,10000,10000,50 GM,PLPCH,1,,,,,,,,
RAJAGALA LANKA HOLDINGS (PVT) LTD,RAJAGALA,RAJAGALA/100/GM/PLPCH/CUTLFISH SOYA MEAT,100,GM,100GM,PLPCH,1,,,,,,,,
RAJAGALA LANKA HOLDINGS (PVT) LTD,RAJAGALA,RAJAGALA/100/GM/PLPCH/PRAWNS SOYA MEAT,100,GM,100GM,PLPCH,1,,,,,,,,
