MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE
RICHARD TRADING CO (PVT) LTD,RICHARD COLOURAY,RICHARD COLOURAY/80/PGS/BOOK/NOTE BOOK A7,10000,10000,80 PGS,BOOK
IMPORTED,COLORES ,COLORES / (IMPORTED) / NEW ELITE /12 COLOUR PACK /1 NO CDBOX,10000,10000,12 COLOUR ,CDBOX
HEMAS PHARMACEUTICALS (PVT) LTD,ENFAGROW A + 4,ENFAGROW A+4/400/G/TIN/PRO VANILLA NUTRITIONL SUPPLEMENT /300/- SAVE,400,GM,400G,TIN
HEMAS PHARMACEUTICALS (PVT) LTD,ENFAGROW A + 3,ENFAGROW A+3/400/G/TIN/PRO VANILLA NUTRITIONL SUPPLEMENT /300/- SAVE,400,GM,400G,TIN
CIC HOLDINGS (PVT) LTD,ENSURE,ENSURE/400/G/TIN/GOLD ALMOND FLAVOUR,400,GM,400G,TIN
SHAW WALLACE CEYLON LTD,RENUKA THICK COCONUT MILK,RENUKA\400\ML\TIN\REAL THICK COCONUT MILK\SHAW WALLACE CEYLON LTD,400,ML,400ML,TIN
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH SAVE 50/=,10000,10000,400 GM ,PLPCH
CEYLON BISCUITS LIMITED,MUNCHEE CAROLS,MUNCHEE/85/GM/CAROLS COOKIES NEW LOOK AND TASTE /PLPCH ,85,GM,85GM,PLPCH 
PURE DALE CEYLON (PVT) LTD,PUREDALE,PUREDALE/400/GM/FULL CREAM MILK POWDER/CDBOX ,400,GM,400GM,CDBOX 
CEYLON BISCUITS LIMITED,MUNCHEE CAROLS,MUNCHEE/340/GM/CAROLS COOKIES NEW LOOK AND TASTE/PLPCH ,340,GM,340GM,PLPCH 
PURE DALE CEYLON (PVT) LTD,PUREDALE,PUREDALE/125/GM/FULL CREAM MILK POWDER/PLPCH ,125,GM,125GM,PLPCH 
DELMAR LANKA PVT LTD,CALIN BABY,CALIN BABY SOAP OLIVE 65GM,65,GM,65GM,CDBOX
NEW MALINDU PRODUCTS(PVT)LTD,NEW MALINDU,NEW MALINDU CHILLI FLAKES/100GM/PLPCH,100,GM,100GM,PLPCH
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75 GM/CDBOX/KOHOMBX AYURVEDA SOAP,10000,10000,75 GN,CDBOX
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/3X PROTECTION COTTON FEEL WINGS,10,NO,10NO,PLPCH 
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA ,CHANDANALEPA/75/GM/CD BOX/KOHOMBA SOAP/SANJEEWAKA AYURVEDIC PRODUCTS,10000,10000,75 GM,CD BOX 
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH /15/GM/CD BOX/NATURAL GLOW & PROTECT/UNILEVER SRI LANKA LTD,10000,10000,15 GM,CD BOX 
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH /70/GM/ CD BOX/PURIFYING WELLNESS WITH KOHOMBA PANCHAVALKADI/UNILEVER SRI LANKA LTD,10000,10000,70 GM,CD BOX 
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/70/GM/CD BOX/EXFOLIATING WELLNESS WITH VENIVAL ALMOND OIL AND COCONUT SHELL POWDER /UNILEVER SRI LANKA LTD,10000,10000,70 GM,CD BOX 
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA ,CHANDANALEPA /75/GM/CD BOX/VENIVAL  AYURVEDA SOAP/SANJEEWAKA AYURVEDIC PRODUCTS,10000,10000,75 GM,CD BOX 
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/15/GM/CD BOX/ANTI MARK & OLI CONTROL/ UNILEVER SRI LANKA LTD,10000,10000,15 GM,CD BOX 
