catcode,company,brand,itemdesc,packaging,qty,uomdesc,pack_size
118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-PET 2000 ML,PET,2000.0,ML,2000.000 ML
118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE-LEMON-PET 1500 ML,PET,1500.0,ML,1500.000 ML
118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA-COLA-PET 500 ML,PET,500.0,ML,500.000 ML
118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,FANTA ORANGE-ORANGE-ORANGE PET 500 ML,PET,500.0,ML,500.000 ML
118,VARUN BEVERAGE -NEPAL,PEPSI AHA,PEPSI AHA-COLA-PET 1500 ML,PET,1500.0,ML,1500.000 ML
118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE-LEMON-PET 500 ML,PET,500.0,ML,500.000 ML
118,BOTTLERS NEPAL - NEPAL,KINLEY,KINLEY-SODA-SODA PET 500 ML,PET,500.0,ML,500.000 ML
118,VARUN BEVERAGE -NEPAL,MOUNTAIN DEW,MOUNTAIN DEW-LEMON-PET 500 ML,PET,500.0,ML,500.000 ML
118,VARUN BEVERAGE -NEPAL,MOUNTAIN DEW,MOUNTAIN DEW-LEMON-PET 1500 ML,PET,1500.0,ML,1500.000 ML
118,VARUN BEVERAGE -NEPAL,MOUNTAIN DEW,MOUNTAIN DEW-LEMON-PET 2000 ML,PET,2000.0,ML,2000.000 ML
118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA-COLA-PET 2250 ML,PET,2250.0,ML,2250.000 ML
118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA-COLA-PET 2000 ML,PET,2000.0,ML,2000.000 ML
118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,FANTA ORANGE-ORANGE-ORANGE PET 2000 ML,PET,2000.0,ML,2000.000 ML
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE PET 1000 ML,PET,1000.0,ML,1000.000 ML
118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-PET 1000 ML,PET,1000.0,ML,1000.000 ML
118,VARUN BEVERAGE -NEPAL,MOUNTAIN DEW,MOUNTAIN DEW-LEMON-PET 1000 ML,PET,1000.0,ML,1000.000 ML
