DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2022-03-05 00:00:00,202203,,124902886,,1646374244943,99763277,120,UNILEVER NEPAL LTD-NEPAL,LIFEBUOY TOTAL PROTECT ,LIFEBUOY TOTAL PROTECT/ACTIV SILVER FORMULA/95GM/WEP,35,EWP,95GM ,,1646374244943-unilever nepal ltd-nepal-lifebuoy total protect .png,RECODING,5
2022-03-05 00:00:00,202203,,124902886,,1646375553809,99763278,122,SHIVANI DETERGENTS-INDIA,SARGAM BIG SHOT ,SARGAM BIG SHOT/DETERGENT POWDER/3000GM/PPH/RS 52.8 OFF,290,PPH,3000GM ,,1646375553809-shivani detergents-india-sargam big shot .png,RECODING,5
2022-03-05 00:00:00,202203,,128997655,,1646283888587,90819902,111,DABUR NEPAL LTD.-NEPAL,PRO STYLE DANDRUFF CONTROL FOR MEN,PROSTYLE DANDRUFF CONTROL FOR MEN/LEMON ROSEMARY PEPPERMINT/150ML/PBT,100,PBT,150ML,,1646283888587-dabur nepal ltd--nepal-pro style dandruff control for men.png,CROSS CODING,2
2022-03-05 00:00:00,202202,,125735638,,1646381848022,99763283,123,DOUTI SOAP AND CHEMICALS PVT.LTD NEPAL ,YASHODA,YASHODA/DETERGENT CAKE/400GM/PCN/FREE SCRUBBER WORTH RS 10,55,PCN,400GM ,,1646381848022-douti soap and chemicals pvt-ltd nepal -yashoda.png,RECODING,5
2022-03-05 00:00:00,202202,,124567392,,1646292800312,99763251,130,MHL HEALTHCARE LTD-INDIA,THRIL PLAN,THRIL PLAN/MIXED FRUIT/3 UNITS/CBP,30,CBP,3 UNIT ,,1646292800312-mhl healthcare ltd-india-thril plan.png,RECODING,5
2022-03-05 00:00:00,202202,,124567392,,1646370953965,99763271,116,HEALTY & HYGIENE PROD-NP,PADELUX PREMIUM ,PADELUX PREMIUM/REGULAR XL WITH WINGS PURE COTTON SOFT & DRY/7 PADS/PPH,50,PPH,7 PADS,,1646370953965-healty - hygiene prod-np-padelux premium .png,RECODING,5
2022-03-05 00:00:00,202202,,124567392,,1646369553100,99763258,130,MHL HEALTHCARE LTD-INDIA,FIRE XTACY 6IN1,FIRE XTACY 6IN1/SIX FEATURES/3 UNITS/CBP,80,CBP,3 UNITS,,1646369553100-mhl healthcare ltd-india-fire xtacy 6in1.png,RECODING,5
2022-03-05 00:00:00,202202,,124567392,,1646369258025,99763259,130,ISM CORPORATION PVT LTD- INDIA,FIRE XTRA,FIRE XTRA/SUPER DOTTED/3 UNITS/CBP,80,CBP,3 UNITS,,1646369258025-ism corporation pvt ltd- india-fire xtra.png,RECODING,5
2022-03-05 00:00:00,202203,,113395539,,1646382208661,99763272,116,BHADRA PASHUPATI PAD UDHYOG,KOSELI,KOSELI\7\NOS\,70,PPH,7 NOS,,1646382208661-bhadra pashupati pad udhyog-koseli.png,RECODING,5
2022-03-05 00:00:00,202203,,122590200,,1645973337585,99763216,126,SAKAMBARIPRODUCT NEPAL,NAAZ,NAAZ 1.4GM,2.5,PPH,1.4GM,,1645973337585-sakambariproduct nepal-naaz.png,RECODING,5
2022-03-05 00:00:00,202203,,123094992,,1645973337585,99763216,126,SAKAMBARIPRODUCT NEPAL,NAAZ,NAAZ 1.4GM,2.5,PPH,1.4GM,,1645973337585-sakambariproduct nepal-naaz.png,RECODING,5
2022-03-05 00:00:00,202203,,128811617,,1646368490149,,106,ORANGE FOODS INDIA ,KIDS EGG,KIDS EGG\4GM\PPH\SUGAR COATED BEANS,1.6,PPH,4GM,,1646368490149-orange foods india -kids egg.png,PARKER FOR NEXT MONTH,999
2022-03-05 00:00:00,202203,,128811617,,1646279240173,99763237,106,AMBER CONFECTIONERY-INDIA,AMBER CRUNCHY,AMBER CRUNCHY\2.8GM\PPH\ELAICHI,0.8,PPH,2.8GM,,1646279240173-amber confectionery-india-amber crunchy.png,RECODING,5
2022-03-05 00:00:00,202203,,128811617,,1646368942829,99763090,120,VVF LTD - INDIA,JO,JO\EWP\40GM\EWP\LIME ,48,EWP,40GM,,1646368942829-vvf ltd - india-jo.png,CROSS CODING,2
2022-03-05 00:00:00,202203,,128811617,,1646368131203,99763260,106,GANGOTRI HOLY PRODUCTS PVT.LTD INDIA,KACCHA SACCHA ,KACCHA SACCHA\0.95GM\PPH\SHAHI LYCHEE FLAVOUR ,0.8,PPH,2.95GM,,1646368131203-gangotri holy products pvt-ltd india-kaccha saccha .png,RECODING,5
2022-03-05 00:00:00,202203,,128811617,,1646367859924,99763261,106,GANGOTRI HOLY PRODUCTS PVT.LTD INDIA,DOUBLE MANGO,DOUBLE MANGO\2.95GM\PPH\ADHA MITHA ADHA KHATA,0.8,PPH,2.95GM,,1646367859924-gangotri holy products pvt-ltd india-double mango.png,RECODING,5
