itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate,audittype
30131,MALIBAN HAWAIIAN COOKIES 100 GM PLPCH,6,BISCUITS,MALIBAN BISCUIT MANUFACTORIES,MALIBAN HAWAIIAN COOKIES,PLPCH,,,100.0,GM,100.00 GM,201205.0,1
30132,MALIBAN HAWAIIAN COOKIES 200 GM PLPCH,6,BISCUITS,MALIBAN BISCUIT MANUFACTORIES,MALIBAN HAWAIIAN COOKIES,PLPCH,,,200.0,GM,200.00 GM,201206.0,1
30133,MIC MAC COCONUT TREAT 200 GM,6,BISCUITS,MICMAC FOOD (PVT) LTD,MIC MAC COCONUT TREAT,PLPCH,,,200.0,GM,200.00 GM,200510.0,1
30134,TURNEY COCONUT BIS BISCUITS 220 GM (TURNEY BIS.),6,BISCUITS,TURNEY BISCUITS MANUFACTERIES,TURNEY COCONUT-BIS,FLPCH,,,220.0,GM,220.00 GM,202006.0,1
30137,TURNEY COCONUT BIS BISCUITS 260 GM (TURNEY BIS.),6,BISCUITS,TURNEY BISCUITS MANUFACTERIES,TURNEY COCONUT-BIS,PLPCH,,,260.0,GM,260.00 GM,201804.0,1
30138,TURNEY COCONUT-BIS BISCUITS 180 GM (TURNEY BIS.),6,BISCUITS,TURNEY BISCUITS MANUFACTERIES,TURNEY COCONUT-BIS,PLPCH,,,180.0,GM,180.00 GM,201304.0,1
30139,TURNEY COCONUT-BIS BISCUITS 200 GM (TURNEY BIS.),6,BISCUITS,TURNEY BISCUITS MANUFACTERIES,TURNEY COCONUT-BIS,PLPCH,,,200.0,GM,200.00 GM,201210.0,1
30140,KIST MAGIC COOKIES BUTTER 120G PLPCH,6,BISCUITS,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST MAGIC,PLPCH,,,120.0,GM,120.00 GM,202006.0,1
30141,KIST MAGIC CHOCOLATE CHIP COOKIES PLPCH 120 GM,6,BISCUITS,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST MAGIC,PLPCH,,,120.0,GM,120.00 GM,201905.0,1
30142,KIST MAGIC COOKIES ASSORTMENT TIN 330 GM,6,BISCUITS,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST MAGIC,TIN,,,330.0,GM,330.00 GM,201909.0,1
30143,KIST MAGIC MILK COOKIES PLPCH 120 GM,6,BISCUITS,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST MAGIC,PLPCH,,,120.0,GM,120.00 GM,202002.0,1
30144,KIST MAGIC SESAME COOKIES PLPCH 120 GM,6,BISCUITS,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST MAGIC,PLPCH,,,120.0,GM,120.00 GM,201905.0,1
30145,KIST MILKI COOKIES 120 GM,6,BISCUITS,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST MILKI COOKIES,PLPCH,,,120.0,GM,120.00 GM,201905.0,1
30146,KIST MILKI COOKIES 300 GM,6,BISCUITS,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST MILKI COOKIES,PLPCH,,,300.0,GM,300.00 GM,201806.0,1
30149,MUNCHEE GINGER ZING 100 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE GINGER BISCUIT,PLPCH,,,100.0,GM,100.00 GM,200805.0,1
