t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,1,2,3,rank
43,2023-04-18,202304,2,130220490,52303020013,1681699904380,99764989,134,AGRO THAI FOODS PVT LTD-NEPAL,TIGER SHARK ,TIGER SHARK/250ML/CAN,120.0,CAN,250ML ,,1681699904380-agro thai foods pvt ltd-nepal-tiger shark #3.png,RECODING,5,99764989,99762356,99765463,1
44,2023-04-18,202304,2,232113810223,23211020007,1681716661380,99764991,118,PRAGATI BEVERAGE INDIA,KEMPTY ,KEMPTY\250ML\PBT\FIZZY LEMON,24.0,PBT,250ML,,1681716661380-pragati beverage india-kempty #3.png,RECODING,5,99764991,52740,20125806,1
45,2023-04-18,202304,2,232113810205,23211020005,1681720552792,99764992,134,HAY HANUMAN DRINKING WATER UDYOG NEPAL,SARLAHI REFRESH,SARLAHI REFRESH\100ML\PBT\MINERAL ,25.0,PBT,1000ML,,1681720552792-hay hanuman drinking water udyog nepal-sarlahi refresh#3.png,RECODING,5,99764992,40110707,99764546,1
46,2023-04-18,202304,2,129996976,12313020008,1681375880871,99764966,118,BOTTLERS NEPAL - NEPAL,SPRITE ,SPRITE-LEMON-PET 2250 ML FREE2PM NOODLES AKABARE CHICKEN 80GM,260.0,PET,2250 ML,,1681375880871-bottlers nepal - nepal-sprite #3.png,RECODING,5,99764966,20150012,99765140,1
47,2023-04-18,202304,2,122127804,12303020035,1681533875311,99764989,134,AGRO THAI FOODS PVT LTD-NEPAL,TIGER SHARK,TIGER SHARK ENERGY DRINK CAN 250ML,120.0,CAN,250ML,,1681533875311-agro thai foods pvt ltd-nepal-tiger shark#3.png,RECODING,5,99764989,99762356,99764063,1
56,2023-04-21,202304,2,128614889,52202020010,1681986232426,99764994,134,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI/500ML/PBT/MANGO,90.0,PBT,500ML,,1681986232426-south asian beverages p- ltd-nepal-frooti#3.png,RECODING,5,99764994,99765006,99764993,1
49,2023-04-19,202304,2,124774822,21209020036,1681810201696,99764980,118,DABUR NEPAL,REAL FRUIT POWER NIMBU FIZZIN,REAL FRUIT POWER NIMBU FIZZXIN/150ML/ PBT,30.0,PBT,150ML,,1681810201696-dabur nepal-real fruit power nimbu fizzin#3.png,RECODING,5,99764980,99764967,99764981,1
50,2023-04-19,202304,2,128962037,31101020038,1681805970061,99762747,134,AGRO THAI FOODS PVT LTD-NEPAL,ICEEY CRAZY,ICEEY CRAZY LEMONA\250ML\PET\RS:50\AGRO THAI FOODS PVT.LTD NEPAL,50.0,PET,250ML,New SKU,1681805970061-agro thai foods pvt ltd-nepal-iceey crazy#3.png,CROSS CODING,2,99762747,99765159,99765160,1
51,2023-04-19,202304,2,122150710,12303020015,1681805110312,99764993,134,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI-MANGO PET 250ML,50.0,PET,250ML,,1681805110312-south asian beverages p- ltd-nepal-frooti#3.png,RECODING,5,99764993,99765006,99764994,1
52,2023-04-19,202304,2,122150710,12303020015,1681805157718,99764994,134,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI-MANGO PET 500ML,90.0,PET,500ML,,1681805157718-south asian beverages p- ltd-nepal-frooti#3.png,RECODING,5,99764994,99764993,99765006,1
53,2023-04-20,202304,2,111513886,12101020022,1681883863052,99764995,134,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN MANIA,HYGEN MANIA MANGO PET-1000 ML.,170.0,PET,1000 ML.,Any other reason,1681883863052-hygen packs nepal pvt ltd-nepal-hygen mania#3.png,RECODING,5,99764995,99764476,99764833,1
54,2023-04-20,202304,3,3110102665,31101030277,1681897583316,99764997,125,SONA TOBACCO UDHYOG PVT.LTD NEPAL,GOLDEN JHANKAR,GOLDEN JHANKAR\12.5GM\PPH\RS:25\SONA TOBACCO UDHYOG PVT.LTD NEPAL,20.0,PPH,12.5GM,New SKU,1681897583316-sona tobacco udhyog pvt-ltd nepal-golden jhankar#3.png,RECODING,5,99764997,99765438,99764259,1
55,2023-04-20,202304,2,123094572,12303020016,1681878709749,99764996,118,SINGAPORE BEVERAGE-NEPAL,JEERU,JEERU-JEERA-JEERA MASALA CAN 250ML,90.0,CAN,250ML,,1681878709749-singapore beverage-nepal-jeeru#3.png,RECODING,5,99764996,53568,99762952,1
