t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,1,2,3,rank
59,2023-05-23,202305,2,131347003,31101020110,1684485865605,99764921,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160ML\PET\RS:30\SOUTH ASIAN BEVRAGES PVT.LTD NEPAL,30.0,160ML,PET,,,CROSS CODING,2,99765076,99764921,99763443,1
71,2023-05-26,202305,2,116209229,21101020213,1684999148598,54924,134.0,RELIABLE FOODS & BEVERAGES PVT LTD-NP,KIMU,KIMU BADAM DRINK/180/ML/TIN/RELIABLE FOOD & BEVARAGE PVT.LTD/NEPAL,100.0,180 ML,TIN,Sales Deviation is OK,1684999148598-reliable foods - beverages pvt ltd-np-kimu#3.png,CROSS CODING,2,54924,99762527,54866,1
68,2023-05-24,202305,2,222762610059,22276020009,1684824086322,99765034,134.0,DUWAL BROTHERS-NEPAL,DUWAL LITCHI,DUWAL LITCHI/PBT/150ML/RS 20,20.0,PBT,150 ML,Sales Deviation is OK,,RECODING,5,99765034,99763696,48191,1
67,2023-05-24,202305,2,222762610017,22276020011,1684824086322,99765034,134.0,DUWAL BROTHERS-NEPAL,DUWAL LITCHI,DUWAL LITCHI/PBT/150ML/RS 20,20.0,PBT,150 ML,Sales Deviation is OK,,RECODING,5,99765034,99763696,48191,1
66,2023-05-24,202305,2,222761310042,22276020006,1684827091740,99765037,118.0,DUWAL BROTHERS PVT LTD,SPRINTO,SPRINTO/PBT/250ML/RS40,40.0,250 ML,PBT,Sales Deviation is OK,,RECODING,5,99765037,99765036,99763696,1
65,2023-05-24,202305,2,222761310042,22276020006,1684827005745,99765036,118.0,DUWAL BROTHERS PVT LTD,QUEENTA,QUEENTA/PBT/250ML/RS40,40.0,250 ML,PBT,Sales Deviation is OK,,RECODING,5,99765036,99763696,99765037,1
88,2023-05-29,202305,2,516753710207,51675020002,1684987820392,99764982,134.0,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER//250ML/PBT/APPLE FIZZIN,50.0,250ML ,PBT,,1684987820392-dabur nepal ltd--nepal-real fruit power#3.png,CROSS CODING,2,99764982,None,None,1
89,2023-05-29,202305,2,516753710207,51675020002,1684988032905,99764983,134.0,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/500ML/PBT/APPLE FIZZIN,80.0,500ML ,PBT,,1684988032905-dabur nepal ltd--nepal-real fruit power#3.png,CROSS CODING,2,99764983,99763686,99763684,1
90,2023-05-29,202305,2,516753710207,51675020002,1684989333027,99765026,134.0,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/200ML/PBT/GUAVA,40.0,250ML ,PBT,,1684989333027-dabur nepal ltd--nepal-real fruit power#3.png,RECODING,5,99765026,99765262,99765070,1
83,2023-05-29,202305,2,516813610245,51681020009,1685001101034,99765042,118.0,LIFE FOOD & BEVERAGE-NEPAL,FIZZY MASALA ,FIZZY MASALA/150ML/PBT/COLA,30.0,150ML,PBT,,1685001101034-life food - beverage-nepal-fizzy masala #3.png,RECODING,5,99765042,99764314,None,1
84,2023-05-29,202305,2,516813610245,51681020009,1684132294405,99764970,134.0,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE/250ML/PBT/LITCHI,50.0,250ML ,PBT,Sales Deviation is OK,,RECODING,5,99764970,99765206,99764968,1
74,2023-05-26,202305,2,117740771,32203020020,1684913190039,99765038,134.0,NARAYAN BEVERAGE UDHYOG-NEPAL,AQUA N.B.,AQUA N.B./1000ML/PBT/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25.0,1000ML,PBT,Sales Deviation is OK,1684913190039-narayan beverage udhyog-nepal-aqua n-b-#3.png,RECODING,5,99765038,48350,40110822,1
73,2023-05-26,202305,2,116335015,31310020011,1684485865605,99764921,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160ML\PET\RS:30\SOUTH ASIAN BEVRAGES PVT.LTD NEPAL,30.0,160ML,PET,Sales Deviation is OK,,CROSS CODING,2,99765076,99764921,99763443,1
72,2023-05-26,202305,2,116596652,31310020007,1684485865605,99764921,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160ML\PET\RS:30\SOUTH ASIAN BEVRAGES PVT.LTD NEPAL,30.0,160ML,PET,Sales Deviation is OK,,CROSS CODING,2,99765076,99764921,99763443,1
